Advertising Networks	Anonymous Payment Systems	Attitudes Towards Spamming	Children's Privacy	Content Providers have Right to Resell User Information	Direct Marketing	Information about Users Improves Marketing of Site	Internet Privacy Laws	Key Escrow Encryption	Knowledge of Information Logged per Page Request_Don't Know	Knowledge of Information Logged per Page Request_Email Address	Knowledge of Information Logged per Page Request_Location	Knowledge of Information Logged per Page Request_Machine	Knowledge of Information Logged per Page Request_OS	Knowledge of Information Logged per Page Request_Requested Page	Knowledge of Information Logged per Page Request_Screen Size	Knowledge of Information Logged per Page Request_Session ID	Knowledge of Information Logged per Page Request_Time of Request	Knowledge of Information Logged per Page Request_Which Browser	Mass Emailings	Ought to be able to Assume Different Aliases/Roles on the Internet	Policies Towards Spamming	Privacy of Communications	Reasons for Not Registering_Always Register	Reasons for Not Registering_Don't Trust	Reasons for Not Registering_Not Worth Risk	Reasons for Not Registering_Other	Reasons for Not Registering_Requires Address	Reasons for Not Registering_Requires Email	Reasons for Not Registering_Requires Name 	Reasons for Not Registering_Terms	Reasons for Not Registering_Time	Terms and Conditions for Revealing Demographic Information_Aggregated Only	Terms and Conditions for Revealing Demographic Information_Discount at Site's Store	Terms and Conditions for Revealing Demographic Information_How it will be Used	Terms and Conditions for Revealing Demographic Information_In Exchange for Access to Site	Terms and Conditions for Revealing Demographic Information_Other	Terms and Conditions for Revealing Demographic Information_Some Value Added Service	Terms and Conditions for Revealing Demographic Information_What's Being Collected	Terms and Conditions for Revealing Demographic Information_Would Not Give	Use of Demographic Information in Other Mediums	Users Ought to Have Complete Control of Demographic Info	Value Anonymous Nature of Internet	What Information Ought to be Collected per Page Request_Don't Know	What Information Ought to be Collected per Page Request_Email Address	What Information Ought to be Collected per Page Request_Location	What Information Ought to be Collected per Page Request_Machine	What Information Ought to be Collected per Page Request_None	What Information Ought to be Collected per Page Request_OS	What Information Ought to be Collected per Page Request_Requested Page	What Information Ought to be Collected per Page Request_Screen Size	What Information Ought to be Collected per Page Request_Session ID	What Information Ought to be Collected per Page Request_Time of Request	What Information Ought to be Collected per Page Request_Which Browser	da_source	who	
Disagree Strongly	Neither Agree or Disagree	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	No Opinion	0	1	0	0	0	0	0	0	0	0	Disagree Strongly	No Opinion	Registry	Agree Somewhat	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	0	0	Go!	id93533	
No Opinion	No Opinion	Delete	Disagree Strongly	Agree Strongly	Disagree Strongly	No Opinion	Disagree Strongly	No Opinion	0	0	0	1	0	1	0	1	1	1	Disagree Strongly	Agree Strongly	Nothing	No Opinion	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Agree Strongly	No Opinion	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id97919	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	Disagree Strongly	0	0	0	0	1	1	0	0	1	1	Disagree Strongly	Agree Somewhat	Don't Know	Neither Agree or Disagree	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id51737	
Neither Agree or Disagree	Agree Somewhat	Delete	Agree Strongly	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Somewhat	Agree Strongly	Registry	Agree Somewhat	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	1	1	0	1	1	1	Go!	id93712	
Disagree Strongly	No Opinion	Reply	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	1	1	1	1	1	0	1	1	1	Disagree Somewhat	Disagree Strongly	Registry	Agree Strongly	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	0	0	1	0	0	1	1	1	1	1	1	Go!	id92230	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	0	1	0	0	1	0	0	1	1	Disagree Strongly	No Opinion	Registry	Agree Strongly	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id93536	
Disagree Strongly	No Opinion	Reply	Agree Somewhat	Disagree Strongly	Disagree Somewhat	No Opinion	Agree Somewhat	No Opinion	0	1	0	1	0	1	0	1	1	1	Disagree Somewhat	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	Disagree Somewhat	Agree Strongly	No Opinion	0	0	0	0	1	0	0	0	0	0	0	Go!	id93693	
Neither Agree or Disagree	Neither Agree or Disagree	Read	Neither Agree or Disagree	Neither Agree or Disagree	Neither Agree or Disagree	Agree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	1	0	1	1	0	Disagree Somewhat	Neither Agree or Disagree	Registry	Agree Strongly	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	Agree Somewhat	Agree Strongly	Neither Agree or Disagree	0	0	0	0	0	0	1	0	1	1	0	Go!	id91112	
Disagree Somewhat	Neither Agree or Disagree	Read	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	Agree Strongly	0	0	0	1	1	1	0	0	1	1	Disagree Somewhat	Neither Agree or Disagree	Nothing	Agree Somewhat	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	0	0	0	0	1	1	0	0	1	1	Go!	id91992	
Disagree Strongly	No Opinion	Delete	Disagree Somewhat	Neither Agree or Disagree	No Opinion	Neither Agree or Disagree	Agree Strongly	No Opinion	0	1	1	1	0	1	0	0	1	1	No Opinion	Neither Agree or Disagree	Registry	No Opinion	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	No Opinion	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id92552	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Neither Agree or Disagree	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	1	0	1	1	0	0	1	1	Go!	id85803	
Disagree Strongly	No Opinion	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Strongly	0	1	1	1	1	1	0	0	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	1	1		1	1	1	0	1	1	Go!	id93105	
Disagree Strongly	Agree Strongly	Read	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	1	0	1	1	1	1	1	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	1	1	1	1	1	1	Go!	id93545	
Disagree Strongly	Neither Agree or Disagree	Not App	Agree Strongly	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	Agree Strongly	No Opinion	0	1	0	1	0	0	0	0	0	0	Neither Agree or Disagree	Neither Agree or Disagree	Blacklist	Agree Strongly	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	Agree Somewhat	Agree Strongly	Agree Somewhat	0	1	0	1	0	0	0	0	0	0	0	Go!	id93555	
Disagree Somewhat	Agree Somewhat	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Blacklist	Agree Strongly	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0		0	1	0	0	1	1	Go!	id81955	
Disagree Somewhat	Agree Somewhat	Reply	Disagree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	No Opinion	0	1	0	1	0	0	0	1	1	0	Disagree Strongly	Neither Agree or Disagree	Impact Fee	Neither Agree or Disagree	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	0	0	Go!	id93696	
Disagree Strongly	Agree Strongly	Delete	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Disagree Somewhat	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Don't Know	Agree Strongly	0	1	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	1	1	0	1	1	1	Go!	id3092	
Disagree Strongly	Disagree Strongly	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	0	0	1	1	1	0	0	1	1	Disagree Strongly	Neither Agree or Disagree	Blacklist	Disagree Somewhat	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	1	1	0	0	1	0	Go!	id92495	
Disagree Strongly	Agree Somewhat	Retaliate	Agree Somewhat	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	1	0	1	1	0	0	1	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id96632	
Agree Somewhat	Agree Somewhat	Delete	Agree Somewhat	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	Agree Somewhat	Agree Strongly	Agree Somewhat	0	0	0	1	0	0	1	0	0	1	0	Go!	id96419	
Neither Agree or Disagree	No Opinion	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	No Opinion	1	0	0	0	0	0	0	0	0	0	No Opinion	Neither Agree or Disagree	Registry	Agree Strongly	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	1	0	0	0		0	0	0	0	0	0	Go!	id90739	
Agree Somewhat	Neither Agree or Disagree	Not App	Agree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	1	0	1	0	0	1	0	Disagree Somewhat	Agree Somewhat	Registry	Agree Strongly	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	Agree Somewhat	Agree Strongly	Agree Somewhat	0	1	1	1	0	0	1	0	0	1	1	Go!	id91580	
Agree Strongly	No Opinion	Delete	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	1	0	1	0	1	0	0	1	1	Disagree Somewhat	No Opinion	Registry	Agree Strongly	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	1	0	1	0	0	0	0	0	1	1	Go!	id93563	
Disagree Strongly	Neither Agree or Disagree	Reply	Disagree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Disagree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Other	Agree Strongly	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id3803	
Agree Somewhat	Neither Agree or Disagree	Delete	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	Agree Somewhat	0	0	1	1	0	1	0	0	1	1	Neither Agree or Disagree	Agree Somewhat	Impact Fee	Agree Somewhat	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	Disagree Somewhat	Neither Agree or Disagree	Agree Strongly	0	0	1	1	0	1	1	0	0	1	1	Go!	id92977	
Disagree Strongly	Agree Strongly	Delete	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Strongly	Disagree Strongly	0	0	0	1	1	1	0	0	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	1	0	0	1	0	0	1	1	Go!	id93594	
Disagree Somewhat	Agree Strongly	Delete	Agree Strongly	Neither Agree or Disagree	Disagree Somewhat	Agree Somewhat	Agree Strongly	Disagree Somewhat	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Impact Fee	Agree Strongly	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	Neither Agree or Disagree	Agree Strongly	Agree Strongly	0	0	0	0	0	1	0	0	0	0	1	Go!	id98622	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Somewhat	0	1	0	1	0	1	0	1	1	0	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	0	1	0	0	0	0	0	0	0	0	0	Go!	id98818	
Neither Agree or Disagree	Agree Strongly	Read	Agree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	Agree Strongly	Agree Strongly	0	1	0	1	0	1	0	0	0	0	Agree Strongly	Agree Strongly	Impact Fee	Agree Strongly	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	Neither Agree or Disagree	Disagree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	0	0	Go!	id93371	
Disagree Strongly	Agree Strongly	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Somewhat	Disagree Strongly	0	1	0	0	0	1	0	1	1	1	Disagree Strongly	Agree Strongly	Impact Fee	Agree Strongly	0	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	1	0	0	1	0	Go!	id98632	
Disagree Strongly	Agree Somewhat	Delete	Neither Agree or Disagree	Disagree Somewhat	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Agree Somewhat	0	1	0	1	0	1	0	0	1	0	Disagree Strongly	Agree Strongly	Government Controls	Agree Strongly	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	0	1	0	0	1	0	Go!	id95304	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	No Opinion	Disagree Somewhat	Agree Somewhat	No Opinion	0	1	0	1	0	0	0	0	1	0	Disagree Somewhat	Agree Somewhat	Registry	Agree Somewhat	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Disagree Strongly	Disagree Somewhat	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	Go!	id98637	
Disagree Strongly	Neither Agree or Disagree	Read	Agree Somewhat	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	No Opinion	1	0	0	0	0	0	0	0	0	0	Neither Agree or Disagree	Agree Somewhat	Nothing	Agree Strongly	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	0	1	0	1	0	Go!	id99237	
Disagree Somewhat	Agree Somewhat	Delete	Neither Agree or Disagree	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	Agree Strongly	Disagree Strongly	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Government Controls	Agree Strongly	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	Agree Somewhat	Agree Somewhat	Agree Strongly	0	0	1	1		1	1	1	1	1	1	Go!	id99837	
Disagree Strongly	Agree Strongly	Not App	Disagree Strongly	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	1	0	1	0	0	1	0	0	1	0	Disagree Strongly	Disagree Strongly	Registry	Agree Strongly	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	Neither Agree or Disagree	Agree Strongly	Agree Strongly	0	0	1	0	0	0	1	0	0	1	0	Go!	id90400	
Disagree Strongly	Agree Strongly	Not App	Disagree Strongly	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Neither Agree or Disagree	No Opinion	0	0	1	1	0	1	0	0	1	1	Disagree Strongly	Agree Strongly	Other	Agree Strongly	0	1	1	1	0	0	0	1	0	1	1	1	0	1	1	0	0	Agree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id90401	
Disagree Strongly	No Opinion	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	Disagree Somewhat	No Opinion	0	1	0	1	0	1	0	0	1	1	Disagree Strongly	Disagree Somewhat	Don't Know	No Opinion	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	Disagree Somewhat	No Opinion	Agree Strongly	0	0	0	1	0	0	1	0	0	0	0	Go!	id95190	
Disagree Strongly	Disagree Somewhat	Delete	Neither Agree or Disagree	Agree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	Agree Strongly	Agree Strongly	Agree Somewhat	0	0	0	1	0	1	1	0	1	1	1	Go!	id99267	
Disagree Strongly	Agree Strongly	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	No Opinion	Agree Somewhat	No Opinion	0	1	0	0	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Government Controls	Neither Agree or Disagree	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Disagree Somewhat	No Opinion	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id98653	
Disagree Somewhat	Agree Strongly	Read	Agree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	1	0	1	0	1	0	1	1	1	Agree Somewhat	Agree Strongly	Registry	Agree Strongly	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	0	0	0	0	1	Go!	id92953	
Disagree Strongly	Agree Strongly	Read	Disagree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Impact Fee	Agree Strongly	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	0	0	Go!	id97752	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	Agree Strongly	0	1	0	1	1	1	0	0	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	1	0	0	0	0	1	0	0	0	0	Go!	id98137	
Agree Somewhat	No Opinion	Not App	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	Neither Agree or Disagree	0	0	0	1	0	1	0	0	1	0	Disagree Strongly	Agree Strongly	Registry	Agree Somewhat	0	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	0	0		0	0	0	0	1	0	Go!	id9528	
Disagree Strongly	Agree Strongly	Delete	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Disagree Strongly	Agree Somewhat	0	1	0	1	0	1	0	0	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id97555	
Disagree Strongly	Agree Strongly	Reply	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	1	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	1	1	1	Go!	id95767	
Disagree Somewhat	Neither Agree or Disagree	Reply	Agree Somewhat	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	0	0	1	0	0	0	1	0	0	1	0	Go!	id95439	
Disagree Strongly	No Opinion	Delete	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	Disagree Strongly	Agree Strongly	0	0	0	1	0	1	0	1	1	1	Disagree Somewhat	Agree Strongly	Don't Know	Agree Strongly	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id93432	
Disagree Strongly	Neither Agree or Disagree	Reply	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	1	0	0	0	0	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	0	0	Go!	id97850	
Disagree Strongly	No Opinion	Delete	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	No Opinion	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	No Opinion	Registry	Agree Strongly	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	0	1	0	1	1	0	1	1	1	Go!	id97617	
Disagree Strongly	Agree Somewhat	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Blacklist	Agree Strongly	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id94811	
Disagree Strongly	Disagree Strongly	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	No Opinion	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Neither Agree or Disagree	Don't Know	Agree Strongly	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id91427	
Disagree Strongly	Neither Agree or Disagree	Delete	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Somewhat	0	1	0	1	0	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Somewhat	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	0	0	1	0	1	Go!	id98719	
Disagree Strongly	Agree Somewhat	Not App	Agree Somewhat	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	1	0	0	0		0	0	0	0	0	0	Go!	id98671	
Disagree Somewhat	Agree Strongly	Delete	Disagree Strongly	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	1	1	1	1	1	0	1	1	1	Disagree Somewhat	Disagree Somewhat	Impact Fee	Agree Strongly	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	1	1	0	0	0	0	0	0	0	1	Go!	id92049	
Agree Somewhat	Agree Somewhat	Delete	Agree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	0	0	0	1	0	1	1	1	Disagree Somewhat	Disagree Somewhat	Registry	Agree Somewhat	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	1	0	0	0	0	1	0	1	1	0	Go!	id97270	
Disagree Strongly	Agree Strongly	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Agree Strongly	0	1	0	1	1	1	0	0	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	1	1	0	0	0	0	Go!	id99355	
Disagree Strongly 	Neither Agree or Disagree	Delete	Agree Somewhat 	Disagree Strongly 	Disagree Somewhat 	Agree Somewhat 	Neither Agree or Disagree 	Agree Somewhat 	0	0	0	1	1	1	1	1	1	1	Disagree Somewhat 	No Opinion 	Registry	Agree Strongly 	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	Disagree Strongly 	Agree Strongly 	Agree Somewhat 	0	0	0	0	0	0	1	0	0	0	1	Go!	id98904	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	1	0	Go!	id93924	
Disagree Strongly	No Opinion	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	No Opinion	0	1	0	1	1	1	0	0	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	1	0	0	0	0	0	0	0	0	0	Go!	id93096	
